molecule_chembl_id,canonical_smiles,Molecular Weight,Number of Rotatable Bonds,Number of Atoms,Number of Bonds,Count of Chiral Centers,Number of Rings,Number of Aromatic Rings,Number of Hydrogen Bond Donors,Number of Hydrogen Bond Acceptors,Balaban J Index,Wiener Index,LogP,TPSA,standard_value,class
CHEMBL68920,Cc1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,383.09491600000007,3,27,30,0,4,3,3,4,1.7891735021737434,1832.0,4.450340000000002,82.69999999999999,41.0,active
CHEMBL137635,CN(c1ccccc1)c1ncnc2ccc(N/N=N/Cc3ccccn3)cc12,369.17019360800003,6,28,31,0,4,4,1,6,1.5587627231201868,2326.0,4.772000000000004,78.66000000000001,9300.0,inactive
CHEMBL306988,CC(=C(C#N)C#N)c1ccc(NC(=O)CCC(=O)O)cc1,283.095691276,5,21,21,0,1,1,2,4,2.782019948859735,1108.0,2.3105600000000006,113.98,500000.0,inactive
CHEMBL66879,O=C(O)/C=C/c1ccc(O)cc1,164.047344116,2,12,12,0,1,1,2,2,2.7720256132280023,223.0,1.49,57.53,3000000.0,inactive
CHEMBL77085,N#CC(C#N)=Cc1cc(O)ccc1[N+](=O)[O-],215.03309102,2,16,16,0,1,1,1,5,3.3866530083843585,441.0,1.73096,110.95000000000002,96000.0,inactive
CHEMBL443268,Cc1cc(C(=O)NCCN2CCOCC2)[nH]c1/C=C1\C(=O)N(C)c2ncnc(Nc3ccc(F)c(Cl)c3)c21,539.1847936240001,7,38,42,0,5,3,3,7,1.3818361030897697,5173.0,3.228220000000002,115.48,5310.0,inactive
CHEMBL76979,COc1cc(/C=C(\C#N)C(=O)O)cc(OC)c1O,249.063722452,4,18,18,0,1,1,2,5,3.3497132757310615,616.0,1.40098,99.78,264000.0,inactive
CHEMBL77724,COc1cc(C=C(C#N)C#N)cc(OC)c1,214.07422756,3,16,16,0,1,1,0,4,3.2018637096187,460.0,2.13436,66.03999999999999,1250000.0,inactive
CHEMBL420385,N#CC(C#N)=Cc1ccc(N2CCOCC2)cc1,239.105862036,2,18,19,0,2,1,0,4,2.1287057808502636,685.0,1.95376,60.05,625000.0,inactive
CHEMBL76904,N#CC(C#N)=Cc1ccc(O)c(O)c1,186.042927432,1,14,14,0,1,1,2,4,3.1269748269818325,323.0,1.52836,88.04,35000.0,inactive
CHEMBL1009,N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,197.068807832,3,14,14,1,1,1,4,4,2.7772680269131413,321.0,0.052200000000000135,103.78000000000002,900000.0,inactive
CHEMBL304271,CCN(CC)CC(O)CNC(=O)c1cc(C)c(/C=C2\C(=O)Nc3ncnc(Nc4ccc(F)c(Cl)c4)c32)[nH]1,541.2004436880001,10,38,41,1,4,3,5,7,1.548724205362087,5297.0,3.57442,135.27,0.45,active
CHEMBL296407,N#C/C(=C\c1ccc(O)c(O)c1)C(N)=O,204.053492116,2,15,15,0,1,1,3,4,3.139489712583243,386.0,0.4900799999999999,107.34,10000.0,inactive
CHEMBL309625,N#CC(C#N)=C(N)/C(C#N)=C/c1ccc(O)c([N+](=O)[O-])c1,281.054889084,3,21,21,0,1,1,2,7,3.426374834449219,970.0,1.4673399999999999,160.76,60000.0,inactive
CHEMBL77825,COc1ccc(NN=C(C#N)C#N)cc1,200.069810876,3,15,15,0,1,1,1,5,2.7130257892247203,430.0,1.5102599999999997,81.19999999999999,600000.0,inactive
CHEMBL421877,COc1cc(C=C(C#N)C#N)cc(OC)c1O,230.06914218,3,17,17,0,1,1,1,5,3.33776390461096,530.0,1.83996,86.27,850000.0,inactive
CHEMBL310798,N#CC(C#N)=Cc1cc(O)c(O)c(O)c1,202.037842052,1,15,15,0,1,1,3,5,3.2642558863863362,380.0,1.2339599999999997,108.27000000000001,3000.0,inactive
CHEMBL135592,C/N=N/Nc1ccc2ncnc(N(C)c3ccccc3)c2c1,292.143644512,4,22,24,0,3,3,1,5,2.081092385499099,1063.0,3.806600000000002,65.77,8000.0,inactive
CHEMBL309866,N#C/C(=C\c1ccc([N+](=O)[O-])cc1)C(=O)O,218.032756672,3,16,16,0,1,1,1,4,3.040279412981015,484.0,1.5863800000000001,104.23,1300000.0,inactive
CHEMBL77381,N#C/C(=C/c1ccc[nH]1)C(=O)O,162.042927432,2,12,12,0,1,1,2,2,2.953347226007532,208.0,1.0062799999999998,76.88,1360000.0,inactive
CHEMBL76602,N#C/C(=C\c1ccc(O)cc1)C(=O)O,189.042593084,2,14,14,0,1,1,2,3,3.0253522707872307,326.0,1.3837799999999998,81.32,165000.0,inactive
CHEMBL77737,N#CC(C#N)=Cc1ccncc1,155.04834716,1,12,12,0,1,1,0,3,2.9847974743837753,214.0,1.51216,60.47,250000.0,inactive
CHEMBL76983,N#CC(C#N)=Cc1ccc(F)cc1,172.04367638,1,13,13,0,1,1,0,2,3.0040746811626255,270.0,2.25626,47.58,1250000.0,inactive
CHEMBL308134,N#CC(C#N)=Cc1ccc(O)c([N+](=O)[O-])c1,215.03309102,2,16,16,0,1,1,1,5,3.2569481041726,459.0,1.7309600000000003,110.95000000000002,125000.0,inactive
CHEMBL136491,CN(C)/N=N/c1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,326.10467216,4,23,25,0,3,3,1,5,2.0032899307761287,1258.0,4.587100000000003,65.77,14.0,active
CHEMBL77280,CC(=C(C#N)C#N)c1ccc(N)cc1,183.079647288,1,14,14,0,1,1,1,3,3.20709244019231,314.0,2.08946,73.6,1250000.0,inactive
CHEMBL76557,N#CCNC(=O)/C(C#N)=C/c1ccc(O)cc1,227.069476528,3,17,17,0,1,1,2,4,2.8782864082941524,582.0,0.93896,96.91000000000001,625000.0,inactive
CHEMBL344652,CN(C)/N=N/c1ccc2ncnc(N(C)c3ccccc3)c2c1,306.159294576,4,23,25,0,3,3,0,5,2.0753481743094033,1216.0,3.958000000000003,56.980000000000004,13350.0,inactive
CHEMBL77814,N#CC(C#N)=CNc1ccc(O)cc1,185.058911844,2,14,14,0,1,1,2,4,2.7265764732818525,349.0,1.7351599999999998,79.84,350000.0,inactive
CHEMBL47986,O=CN/C=C/c1cc(O)ccc1O,179.058243148,3,13,13,0,1,1,3,3,2.862844511995571,272.0,0.8144999999999998,69.56,14000.0,inactive
CHEMBL137364,Brc1cccc(Nc2ncnc3ccc(N/N=N/CCN4CCOCC4)cc23)c1,455.10692042400007,7,29,32,0,4,3,2,7,1.4140569902806153,2706.0,4.247200000000003,87.03,64.0,active
CHEMBL308339,N#CC(C#N)=C1C(=O)NC(=O)NC1=O,190.012689924,0,14,14,0,1,0,2,5,3.2568084018769747,288.0,-1.30384,122.85,1400000.0,inactive
CHEMBL78174,N#CC(C#N)=Cc1ccc(C(=O)O)cc1,198.042927432,2,15,15,0,1,1,1,3,3.0193586114973825,410.0,1.81536,84.88000000000001,430000.0,inactive
CHEMBL302552,O=C1Nc2ncnc(Nc3ccc(F)c(Cl)c3)c2/C1=C/c1ccc(C(=O)NCCN2CCOCC2)[nH]1,511.153493496,7,36,40,0,5,3,4,7,1.3143433352160445,4659.0,2.895500000000001,124.26999999999998,22.0,active
CHEMBL309598,N#CC(C#N)=C(O)c1cc(O)c(O)c(O)c1,218.032756672,1,16,16,0,1,1,4,6,3.4416931053855153,434.0,1.1196599999999999,128.5,13500.0,inactive
CHEMBL78302,COc1ccc(C=C(C#N)C#N)cc1O,200.058577496,2,15,15,0,1,1,1,4,3.106427834693159,396.0,1.8313599999999997,77.03999999999999,250000.0,inactive
CHEMBL67057,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(ccn4Cc4ccccc4)c3)c21,559.2331877880001,6,42,48,0,7,5,3,7,1.1717280397741374,6828.0,4.824820000000003,117.16999999999999,4.5,active
CHEMBL77387,N#CC(C#N)=Cc1ccc([N+](=O)[O-])c(O)c1,215.03309102,2,16,16,0,1,1,1,5,3.187086221838403,471.0,1.7309599999999998,110.95,450000.0,inactive
CHEMBL65848,Cc1cc(C(=O)N2CCOCC2)[nH]c1/C=C1\C(=O)Nc2ncnc(Nc3ccc4c(c3)CCC4)c21,470.20663869200007,4,35,40,0,6,3,3,6,1.3270419653503105,3909.0,3.3105200000000012,112.24,1410.0,inactive
CHEMBL78184,N#C/C(=C\c1ccc(F)cc1)C(=O)O,191.038256652,2,14,14,0,1,1,1,2,3.0253522707872307,326.0,1.8172799999999998,61.09,833000.0,inactive
